Item,Quantity
item_27,9
item_11,29
item_02,49
item_05,6
item_24,38
item_28,15
item_16,11
item_10,1
item_27,19
item_28,17
item_03,20
item_26,3
item_02,33
item_24,20
item_24,8
item_24,38
item_06,21
item_22,31
item_27,11
item_25,30
item_15,50
item_27,49
item_11,4
item_23,39
item_08,25
item_19,30
item_13,47
item_28,5
item_16,31
item_23,10
item_01,10
item_08,5
item_05,33
item_09,45
item_13,48
item_16,13
item_16,3
item_26,29
item_06,1
item_12,23
item_10,11
item_16,16
item_07,39
item_06,1
item_14,22
item_25,40
item_15,45
item_07,41
item_16,35
item_14,18
item_12,10
item_25,25
item_13,27
item_11,32
item_08,40
item_13,14
item_02,18
item_26,3
item_25,5
item_01,30
item_09,16
item_02,11
item_13,11
item_02,37
item_08,47
item_12,26
item_10,49
item_14,48
item_12,41
item_12,11
item_04,31
item_09,14
item_20,37
item_17,39
item_11,5
item_21,45
item_01,5
item_07,16
item_27,27
item_07,6
item_08,3
item_18,49
item_17,13
item_15,25
item_13,8
item_23,5
item_27,5
item_11,27
item_18,12
item_28,23
item_02,1
item_28,12
item_27,6
item_25,47
item_20,31
item_07,28
item_04,6
item_01,40
item_15,14
item_04,18
item_22,21
item_11,15
item_15,30
item_19,1
item_24,28
item_02,44
item_17,13
item_16,4
item_28,38
item_15,30
item_13,28
item_27,31
item_20,25
item_17,10
item_07,26
item_26,29
item_04,32
item_07,8
item_10,3
item_05,22
item_02,22
item_18,23
item_10,7
item_21,15
item_19,10
item_28,16
item_27,35
item_19,3
item_20,12
item_12,41
item_01,17
item_24,45
item_29,2
item_10,40
item_10,27
item_24,20
item_21,25
item_01,26
item_29,22
item_25,39
item_02,8
item_26,25
item_26,30
item_13,15
item_22,37
item_03,38
item_09,6
item_24,26
item_25,25
item_05,31
item_10,10
item_14,46
item_28,16
item_25,8
item_01,47
item_15,46
item_06,13
item_09,26
item_22,19
item_07,48
item_08,40
item_13,4
item_24,50
item_17,40
item_27,5
item_01,13
item_10,24
item_28,50
item_10,32
item_22,17
item_07,16
item_30,43
item_22,39
item_02,15
item_16,2
item_15,13
item_29,48
item_14,40
item_18,1
item_28,19
item_29,24
item_27,17
item_06,22
item_04,39
item_01,38
item_11,33
item_17,3
item_12,36
item_23,20
item_11,8
item_04,5
item_03,39
item_23,22
item_13,32
item_24,8
item_07,21
item_12,4
item_10,48
item_30,34
item_01,24
item_21,6
item_16,28
item_27,2
item_19,9
item_14,34
item_29,18
item_10,33
item_23,42
item_06,25
item_25,27
item_13,50
item_13,8
item_19,11
item_06,36
item_06,23
item_25,2
item_04,41
item_10,49
item_21,36
item_30,34
item_25,7
item_22,49
item_08,33
item_12,16
item_27,8
item_29,39
item_16,28
item_19,44
item_20,9
item_12,13
item_21,22
item_29,30
item_25,31
item_22,22
item_10,27
item_19,46
item_12,40
item_09,11
item_12,25
item_06,40
item_03,46
item_24,17
item_08,22
item_21,19
item_10,14
item_04,31
item_21,6
item_17,12
item_15,49
item_20,14
item_07,19
item_06,49
item_27,21
item_19,47
item_05,37
item_11,16
item_02,4
item_30,34
item_14,4
item_27,9
item_01,45
item_19,29
item_17,23
item_26,39
item_15,27
item_06,6
item_14,3
item_11,27
item_21,15
item_19,14
item_22,22
item_12,7
item_04,50
item_16,15
item_23,39
item_21,43
item_15,48
item_19,43
item_10,4
item_23,27
item_23,41
item_03,7
item_02,24
item_17,15
item_08,10
item_07,5
item_01,48
item_29,50
item_17,27
item_19,35
item_05,29
item_12,25
item_17,13
item_01,24
item_07,2
item_09,2
item_29,39
item_20,11
item_02,49
item_26,12
item_02,31
item_20,46
item_22,40
item_29,45
item_30,42
